"Name","Code","Rate"
"Canadian Dollar","CAD",1.32868292
"Hong Kong Dollar","HKD",7.83078662
"Icelandic Krona","ISK",123.79106908
"Philippine Peso","PHP",52.22613636
"Danish Krone","DKK",6.74771206
"Hungarian Forint","HUF",300.72928844
"Czech Koruna","CZK",23.39778957
"U.K. Pound Sterling","GBP",0.80101437
"Romanian New Leu","RON",4.28721258
"Swedish Krona","SEK",9.7055568
"Indonesian Rupiah","IDR",14093.76440256
"Indian Rupee","INR",71.26109172
"Brazilian Real","BRL",4.1397028
"Russian Rouble","RUB",64.03298023
"Croatian Kuna","HRK",6.68754143
"Japanese Yen","JPY",108.01112314
"Thai Baht","THB",30.5174402
"Swiss Franc","CHF",0.99200752
"Euro","EUR",0.90399786
"Malaysian Ringgit","MYR",4.19079495
"Bulgarian Lev","BGN",1.76732136
"Turkish Lira","TRY",5.7028093
"Chinese Yuan","CNY",7.09738902
"Norwegian Krone","NOK",8.95117734
"New Zealand Dollar","NZD",1.58539149
"South African Rand","ZAR",14.69552748
"U.S. Dollar","USD",1
"Mexican Peso","MXN",19.39180721
"Singapore Dollar","SGD",1.37838257
"Australian Dollar","AUD",1.47125047
"Israeli New Sheqel","ILS",3.51460973
"South Korean Won","KRW",1193.27074027
"Polish Zloty","PLN",3.92470718
